"noise=0,drift=0.1_smoothed","noise=0.1,drift=0.1_smoothed","noise=0.2,drift=0.1_smoothed"
-0.423274942,-0.423274942,-0.423274942
-0.398737581,-0.41979982,-0.424501259
-0.376056396,-0.417397234,-0.392697088
-0.357464894,-0.397829961,-0.379750674
-0.338305918,-0.381794176,-0.319448442
-0.298439773,-0.357927895,-0.207389743
-0.265875605,-0.301486649,-0.029557255
-0.231806497,-0.246870731,0.126602622
-0.198454238,-0.191778285,0.286140825
-0.169848963,-0.122963231,0.422016608
-0.150279239,-0.03973918,0.513736403
-0.134211364,0.024285054,0.544992303
-0.12810994,0.090895491,0.569180416
-0.124955817,0.150839092,0.591456694
-0.124037346,0.19498239,0.587552171
-0.120491424,0.216992298,0.617818623
-0.114793379,0.216580586,0.592793366
-0.108200088,0.205878126,0.548455847
-0.102678966,0.1798236,0.490903231
-0.097212332,0.144235532,0.416227287
-0.092024841,0.105081131,0.295314506
-0.087251157,0.066862629,0.214883791
-0.082963191,0.030682603,0.155805438
-0.079178528,0.00019849,0.110894223
-0.076355779,-0.023237561,0.08042136
-0.073993378,-0.03809227,0.064598429
-0.071866777,-0.046152531,0.058256814
-0.069947355,-0.047429664,0.059077214
-0.068567928,-0.04883097,0.060057827
-0.066936744,-0.051968036,0.060801057
-0.065357885,-0.054604648,0.06014756
-0.064005998,-0.05303392,0.058247266
-0.06312657,-0.051368797,0.056386335
-0.062091111,-0.047072536,0.052085233
-0.061078406,-0.038698911,0.045528506
-0.060407769,-0.030508331,0.045581401
-0.059887092,-0.027591301,0.047637808
-0.059148556,-0.026617193,0.049626297
-0.058588673,-0.026728641,0.051200136
-0.058150544,-0.028708115,0.056423821
-0.05756627,-0.031655412,0.053004239
-0.057126324,-0.033518957,0.044331896
-0.056776077,-0.031811514,0.030567672
-0.056303058,-0.030330269,0.019424652
-0.055951255,-0.028359385,0.00031847
-0.055642753,-0.027189672,-0.016359765
-0.055203169,-0.025388394,-0.028953191
-0.054841714,-0.024397079,-0.041143791
-0.054519223,-0.023450419,-0.053070348
-0.054176795,-0.023444154,-0.058022624
-0.053876984,-0.021374236,-0.06335567
-0.053647736,-0.019787827,-0.063509381
-0.053452831,-0.020888917,-0.05405619
-0.053271824,-0.025997236,-0.044437789
-0.053063576,-0.035954876,-0.035677117
-0.052909189,-0.045905034,-0.027059491
-0.05272968,-0.055420086,-0.02499423
-0.052474405,-0.063216342,-0.036121004
-0.052271794,-0.065358614,-0.047506828
-0.052032466,-0.06237162,-0.058427092
-0.051748667,-0.060301004,-0.068794408
-0.051524314,-0.058917262,-0.074194268
-0.051259525,-0.057468326,-0.074531329
-0.050964749,-0.057646913,-0.075023022
-0.050730168,-0.056085391,-0.07460861
-0.050436416,-0.054246421,-0.074262738
-0.050122311,-0.050998465,-0.081931286
-0.049908514,-0.047336651,-0.083054761
-0.049605802,-0.047436393,-0.083754985
-0.049282562,-0.049214281,-0.085788385
-0.049099237,-0.05054427,-0.085045764
-0.048787263,-0.053330198,-0.078970925
-0.048442555,-0.054392001,-0.07382239
-0.048134291,-0.051327478,-0.070370009
-0.047850618,-0.046643944,-0.066149923
-0.047311351,-0.042760371,-0.06266752
-0.04689264,-0.036670122,-0.058427633
-0.046397337,-0.032194858,-0.060993052
-0.045798747,-0.026804968,-0.065512238
-0.044946797,-0.023190051,-0.069477402
-0.044021277,-0.02146176,-0.075797633
-0.042817309,-0.02560618,-0.084758276
-0.041386564,-0.029906191,-0.089018109
-0.039818887,-0.035464135,-0.089969508
-0.038188389,-0.03993528,-0.089299515
-0.036561435,-0.042355667,-0.08875691
-0.03501132,-0.041525564,-0.082105624
-0.033630253,-0.041140781,-0.066195834
-0.03253997,-0.040518856,-0.050148627
-0.031997071,-0.038512473,-0.042225686
-0.030916374,-0.035058073,-0.033907027
-0.030624647,-0.029853753,-0.029818416
-0.039364998,-0.024314418,-0.034831525
-0.052230751,-0.020211179,-0.041677298
-0.068388617,-0.021246649,-0.042349548
-0.090868391,-0.025065753,-0.043232527
-0.115013729,-0.030082589,-0.039279971
-0.132925727,-0.034871293,-0.035937148
-0.151175553,-0.037069536,-0.029944524
-0.167007534,-0.034946389,-0.024331363
-0.178215739,-0.030637108,-0.019110547
-0.187998534,-0.027844484,-0.016246494
-0.193861056,-0.02975355,-0.024897753
-0.19627259,-0.037248869,-0.068826438
-0.198358749,-0.04968189,-0.138437537
-0.200309991,-0.065488596,-0.215487753
,-0.085278889,-0.29501365
,-0.100935716,-0.366562978
,-0.115517758,-0.389660472
,-0.137614052,-0.387885991
,-0.161546944,-0.376664139
,-0.181011782,-0.373045605
,-0.194743089,-0.372149794
,-0.21249129,-0.39425882
