调整kp_smoothed,kp=1ki=0kd=0_smoothed,kp=3ki=0kd=0_smoothed,kp=5ki=0kd=0_smoothed,调整kd_smoothed,kp=3ki=0kd=0_smoothed,kp=3ki=0kd=4_smoothed,kp=3ki=0kd=6_smoothed,kp=3ki=0kd=8_smoothed,调整Ki_smoothed,kp=3ki=0.001kd=6_smoothed,kp=3ki=0.01kd=6_smoothed,kp=3ki=0.1kd=6_smoothed
,-0.423274942,-0.423274942,-0.423274942,,-0.423274942,-0.423274942,-0.423274942,-0.423274942,,-0.423274942,-0.423274942,-0.423274942
,-0.408295399,-0.393770676,-0.393770676,,-0.393770676,-0.393770676,-0.393770676,-0.393770676,,-0.393770676,-0.393770676,-0.393770676
,-0.387458145,-0.350978578,-0.350026728,,-0.350978578,-0.365026357,-0.369767706,-0.374632469,,-0.369757992,-0.369670589,-0.36879761
,-0.345712361,-0.311844193,-0.312995741,,-0.311844193,-0.329968252,-0.340423958,-0.341875778,,-0.340402173,-0.340206234,-0.338256351
,-0.306474623,-0.261275722,-0.265842878,,-0.261275722,-0.300795279,-0.31534012,-0.315682991,,-0.315307134,-0.315010526,-0.312067776
,-0.219442425,-0.176271242,-0.18546705,,-0.176271242,-0.234773617,-0.256943821,-0.256917527,,-0.256888371,-0.256389958,-0.251463631
,-0.120615483,-0.089632174,-0.093868302,,-0.089632174,-0.171039074,-0.192864733,-0.192966326,,-0.192780266,-0.192021245,-0.181854401
,-0.010935742,0.001301607,-0.011274329,,0.001301607,-0.098587965,-0.128864987,-0.126442021,,-0.128755589,-0.12777276,-0.110828949
,0.096107308,0.090213887,0.070531496,,0.090213887,-0.032758396,-0.069675621,-0.06291577,,-0.069545953,-0.068381198,-0.043053628
,0.195412126,0.163013159,0.137708622,,0.163013159,0.034155448,-0.005163937,-2.50E-05,,-0.00502545,-0.003761761,0.027509223
,0.286424758,0.232231081,0.201825081,,0.232231081,0.093105667,0.047062373,0.051164596,,0.047192599,0.048405076,0.092991251
,0.385791474,0.292917722,0.24798449,,0.292917722,0.142257972,0.08452823,0.088405448,,0.084629057,0.085597571,0.138963293
,0.49434435,0.329591611,0.278631073,,0.329591611,0.169478403,0.11445033,0.118943663,,0.114500978,0.115049102,0.172541166
,0.597383586,0.348326611,0.287628303,,0.348326611,0.182892135,0.134822439,0.133748664,,0.134808282,0.134791612,0.190589048
,0.721758162,0.343919709,0.269385674,,0.343919709,0.182735299,0.140496053,0.141420475,,0.140405154,0.13970456,0.1925052
,0.840393514,0.31637791,0.227656231,,0.31637791,0.167238298,0.139079462,0.142205983,,0.138908358,0.137480011,0.17555365
,0.939498885,0.269627753,0.181228426,,0.269627753,0.146940672,0.131737707,0.136988149,,0.131487403,0.129342318,0.149874626
,1.002472292,0.210089636,0.127246834,,0.210089636,0.128506757,0.120031106,0.127710612,,0.119703617,0.116854272,0.119282637
,1.027919085,0.146300536,0.076361095,,0.146300536,0.109075295,0.105521745,0.114366998,,0.105121229,0.101606496,0.092978391
,1.009821977,0.088078317,0.039403122,,0.088078317,0.089834986,0.093008165,0.101173725,,0.092554954,0.088544531,0.065824952
,0.932902973,0.040847881,0.017436959,,0.040847881,0.072326796,0.079734931,0.089443438,,0.079225568,0.074699731,0.04004618
,0.803366659,0.007897226,-0.003755408,,0.007897226,0.057200366,0.066933955,0.077412471,,0.066376414,0.061403459,0.016977532
,0.671070996,-0.013082526,-0.011524498,,-0.013082526,0.042083048,0.055286644,0.066562761,,0.054684147,0.049348192,-0.002304883
,0.517022907,-0.023078993,-0.012205831,,-0.023078993,0.029976192,0.045050154,0.064483466,,0.044405139,0.040781177,-0.021618027
,0.378743939,-0.024404148,-0.009200187,,-0.024404148,0.020825631,0.034699927,0.061905443,,0.034013122,0.030071581,-0.036994515
,0.245053217,-0.022086122,-0.00545002,,-0.022086122,0.014437162,0.026411539,0.061155719,,0.025699071,0.021571635,-0.048474848
,0.15770525,-0.017560367,-0.002754024,,-0.017560367,0.010725106,0.019955739,0.063059955,,0.019224622,0.014970865,-0.055238997
,0.045314512,-0.010489951,-0.001743231,,-0.010489951,0.006756684,0.015777423,0.067601328,,0.015040364,0.010715364,-0.059354743
,-0.054359917,-0.003015791,-0.000658836,,-0.003015791,0.004632191,0.012877709,0.071763052,,0.012140105,0.005749196,-0.0632771
,-0.157102026,0.002183669,-0.000175839,,0.002183669,0.003670438,0.009447496,0.076124725,,0.008704372,0.002246907,-0.064813206
,-0.244233999,0.007575095,-0.000214848,,0.007575095,0.003423205,0.00737728,0.082732802,,0.006631664,0.000144687,-0.064495848
,-0.342913388,0.010907063,-0.000433575,,0.010907063,0.003363594,0.006066975,0.09065352,,0.005316748,-0.001207239,-0.063758574
,-0.408214572,0.012107284,-0.000648139,,0.012107284,0.003451707,0.00483406,0.097557251,,0.004079715,-0.002477087,-0.062598376
,-0.441849463,0.011550321,-0.000834827,,0.011550321,0.003683688,0.0041023,0.098479763,,0.003347596,-0.003217368,-0.060693422
,-0.460588552,0.011196074,-0.000930029,,0.011196074,0.003948159,0.003681558,0.103534757,,0.002932988,-0.003576189,-0.058751089
,-0.457798422,0.00998562,-0.00096028,,0.00998562,0.004150453,0.003370165,0.101748714,,0.002623549,-0.003863569,-0.056672214
,-0.423566174,0.008711641,-0.000963305,,0.008711641,0.004292377,0.00307218,0.098143386,,0.00232862,-0.004120425,-0.054584815
,-0.364837268,0.007258863,-0.000976777,,0.007258863,0.004364052,0.00278711,0.095373588,,0.002046739,-0.004362787,-0.052423889
,-0.307816396,0.005937727,-0.000994031,,0.005937727,0.00419288,0.002648088,0.095698718,,0.001907315,-0.004472312,-0.0509857
,-0.237529746,0.004590985,-0.00111966,,0.004590985,0.004067419,0.002707072,0.092634637,,0.001963798,-0.004413872,-0.04929876
,-0.168448587,0.003631362,-0.001146764,,0.003631362,0.003833795,0.0027114,0.096492322,,0.001964579,-0.004410635,-0.047962512
,-0.096803618,0.002619811,-0.000992591,,0.002619811,0.003509141,0.002814306,0.099430465,,0.002070045,-0.004282891,-0.047029568
,-0.047755378,0.002015221,-0.000870884,,0.002015221,0.003273261,0.002883853,0.106438312,,0.002137272,-0.004222627,-0.045598196
