¹Ì¶¨Ki£¬Kd_smoothed_smoothed,"error,Kp=1,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=4,Ki=0,Kd=0_smoothed","¹Ì¶¨Kp,Ki_smoothed_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0,Kd=1_smoothed","error,Kp=3,Ki=0,Kd=5_smoothed","¹Ì¶¨Kp,Kd_smoothed_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0.005,Kd=0_smoothed","error,Kp=3,Ki=0.007,Kd=0_smoothed","error,Kp=3,Ki=0.01,Kd=0_smoothed"
,-0.000438349,0.00069667,0.001377885,,0.00069667,0.000715192,-5.64E-06,,0.00069667,-0.000307106,0.00023954,-0.000680971
,-0.000426739,0.000681544,0.001380415,,0.000681544,0.000719945,-5.71E-06,,0.000681544,-0.000307106,0.000242067,-0.00067163
,-0.000403529,0.000677177,0.001396941,,0.000677177,0.000762049,1.66E-06,,0.000677177,-0.00025977,0.00024663,-0.000657905
,-0.000351277,0.000679024,0.001414928,,0.000679024,0.000722893,4.82E-05,,0.000679024,-0.000129222,0.000281528,-0.00059549
,4.57E-05,0.000983057,0.001434115,,0.000983057,0.000982226,0.00012659,,0.000983057,0.00037683,0.000686458,-0.000512345
,0.000626732,0.001447851,0.001699166,,0.001447851,0.001709016,0.000486415,,0.001447851,0.001120529,0.0012766,-0.000129274
,0.001566246,0.002219202,0.002350038,,0.002219202,0.002741569,0.001181048,,0.002219202,0.00201286,0.002206309,0.000436676
,0.002742616,0.003172737,0.003247751,,0.003172737,0.003983364,0.002086777,,0.003172737,0.003177854,0.003372845,0.001312479
,0.004059405,0.004384769,0.00445475,,0.004384769,0.005568323,0.003286756,,0.004384769,0.004610545,0.004896554,0.002544248
,0.005454217,0.005756226,0.005879086,,0.005756226,0.007240397,0.004865693,,0.005756226,0.00602213,0.006490758,0.00401804
,0.007644477,0.007906738,0.008041196,,0.007906738,0.009759161,0.00727807,,0.007906738,0.008299075,0.009059909,0.006299972
,0.010172509,0.010445991,0.010576688,,0.010445991,0.012621685,0.010212801,,0.010445991,0.010934805,0.012106353,0.009209926
,0.013040669,0.01349753,0.013493565,,0.01349753,0.015971502,0.013682219,,0.01349753,0.013897706,0.015603634,0.012609417
,0.016247151,0.016924329,0.016777657,,0.016924329,0.019852096,0.017621559,,0.016924329,0.017185256,0.019514908,0.016357471
,0.019621638,0.02054757,0.020435358,,0.02054757,0.024111988,0.021813037,,0.02054757,0.020663891,0.023694822,0.02057469
,0.023140937,0.024353859,0.024306278,,0.024353859,0.02851974,0.026140952,,0.024353859,0.024298028,0.028167781,0.025029242
,0.026613938,0.028164762,0.028301832,,0.028164762,0.033113997,0.030336509,,0.028164762,0.028100997,0.032687657,0.029636282
,0.030037076,0.031974869,0.032418056,,0.031974869,0.037808516,0.034463848,,0.031974869,0.031918146,0.037262122,0.034236783
,0.033612014,0.035707679,0.036488111,,0.035707679,0.042292466,0.038402963,,0.035707679,0.035648536,0.041654208,0.038783259
,0.037225655,0.039381263,0.040491981,,0.039381263,0.046735509,0.04204303,,0.039381263,0.039503701,0.046065036,0.043179489
